Date,Open,High,Low,Close,Adj Close,Volume
2009-10-13,98.639999,99.019997,98.220001,98.830002,74.359718,6026200
2009-10-14,99.769997,100.360001,99.430000,100.230003,75.413094,9162700
2009-10-15,99.870003,100.669998,99.839996,100.650002,75.729103,7667900
2009-10-16,99.739998,100.209999,99.370003,99.989998,75.302788,13185400
2009-10-19,100.110001,101.169998,99.930000,100.860001,75.958061,9772400
2009-10-20,100.970001,101.010002,99.900002,100.389999,75.604073,9387400
2009-10-21,100.220001,101.199997,99.410004,99.430000,74.881111,12893600
2009-10-22,99.620003,101.089996,99.199997,100.739998,75.867653,13423200
2009-10-23,100.980003,101.070000,99.370003,99.830002,75.182335,13214000
2009-10-26,99.900002,100.769997,98.519997,98.809998,74.414162,16109800
2009-10-27,98.949997,99.529999,98.400002,98.820000,74.421700,14503800
2009-10-28,98.620003,99.070000,97.620003,97.680000,73.563179,17191500
2009-10-29,98.339996,99.739998,98.050003,99.540001,74.963974,12927200
2009-10-30,99.349998,99.639999,96.870003,97.059998,73.096252,29751800
2009-11-02,97.400002,99.000000,96.820000,97.849998,73.691177,20615900
2009-11-03,97.260002,97.930000,97.070000,97.800003,73.653564,13945600
2009-11-04,98.379997,99.379997,97.940002,98.169998,73.932205,14714300
2009-11-05,98.860001,100.230003,98.809998,100.160004,75.430878,9811600
2009-11-06,99.650002,100.599998,99.430000,100.370003,75.589012,10786100
2009-11-09,101.070000,102.440002,100.910004,102.419998,77.132851,10959900
2009-11-10,102.269997,102.800003,102.150002,102.690002,77.336227,9959100
2009-11-11,103.110001,103.620003,102.639999,103.129997,77.667557,10532400
2009-11-12,102.959999,103.410004,101.900002,102.169998,76.944595,11966800
2009-11-13,102.349998,103.250000,102.099998,102.910004,77.501892,11677800
2009-11-16,103.400002,104.570000,103.349998,104.260002,78.518600,10497400
2009-11-17,104.089996,104.639999,103.860001,104.589996,78.767105,8398000
2009-11-18,104.500000,104.620003,103.910004,104.550003,78.736992,7773400
